load_zone,fuel,period,fuel_cost
Antioquia,GASNACIO,2023,11.41736092
Antioquia,GASIMPOR,2023,11.41736092
Antioquia,ACPM,2023,18.38902524
Antioquia,CARBON,2023,2.039488149
Antioquia,COMBUSTOLEO,2023,20.73447929
Antioquia,GAS-YOPAL,2023,11.41736092
Antioquia,GLP,2023,26.19208017
Nordeste,GASNACIO,2023,11.41736092
Nordeste,GASIMPOR,2023,11.41736092
Nordeste,ACPM,2023,18.38902524
Nordeste,CARBON,2023,2.039488149
Nordeste,COMBUSTOLEO,2023,20.73447929
Nordeste,GAS-YOPAL,2023,11.41736092
Nordeste,GLP,2023,26.19208017
Oriental,GASNACIO,2023,11.41736092
Oriental,GASIMPOR,2023,11.41736092
Oriental,ACPM,2023,18.38902524
Oriental,CARBON,2023,2.039488149
Oriental,COMBUSTOLEO,2023,20.73447929
Oriental,GAS-YOPAL,2023,11.41736092
Oriental,GLP,2023,26.19208017
Surocciden,GASNACIO,2023,11.41736092
Surocciden,GASIMPOR,2023,11.41736092
Surocciden,ACPM,2023,18.38902524
Surocciden,CARBON,2023,2.039488149
Surocciden,COMBUSTOLEO,2023,20.73447929
Surocciden,GAS-YOPAL,2023,11.41736092
Surocciden,GLP,2023,26.19208017
Caribe,GASNACIO,2023,11.41736092
Caribe,GASIMPOR,2023,11.41736092
Caribe,ACPM,2023,18.38902524
Caribe,CARBON,2023,2.039488149
Caribe,COMBUSTOLEO,2023,20.73447929
Caribe,GAS-YOPAL,2023,11.41736092
Caribe,GLP,2023,26.19208017
Antioquia,GASNACIO_CCS,2023,11.41736092
Nordeste,GASNACIO_CCS,2023,11.41736092
Oriental,GASNACIO_CCS,2023,11.41736092
Surocciden,GASNACIO_CCS,2023,11.41736092
Caribe,GASNACIO_CCS,2023,11.41736092
Antioquia,CARBON_CCS,2023,2.039488149
Nordeste,CARBON_CCS,2023,2.039488149
Oriental,CARBON_CCS,2023,2.039488149
Surocciden,CARBON_CCS,2023,2.039488149
Caribe,CARBON_CCS,2023,2.039488149
Antioquia,GASNACIO,2028,11.999761072538984
Antioquia,GASIMPOR,2028,11.999761072538984
Antioquia,ACPM,2028,19.327050338782566
Antioquia,CARBON,2028,2.1435225416588466
Antioquia,COMBUSTOLEO,2028,21.792146117380316
Antioquia,GAS-YOPAL,2028,11.999761072538984
Antioquia,GLP,2028,27.528139491694922
Nordeste,GASNACIO,2028,11.999761072538984
Nordeste,GASIMPOR,2028,11.999761072538984
Nordeste,ACPM,2028,19.327050338782566
Nordeste,CARBON,2028,2.1435225416588466
Nordeste,COMBUSTOLEO,2028,21.792146117380316
Nordeste,GAS-YOPAL,2028,11.999761072538984
Nordeste,GLP,2028,27.528139491694922
Oriental,GASNACIO,2028,11.999761072538984
Oriental,GASIMPOR,2028,11.999761072538984
Oriental,ACPM,2028,19.327050338782566
Oriental,CARBON,2028,2.1435225416588466
Oriental,COMBUSTOLEO,2028,21.792146117380316
Oriental,GAS-YOPAL,2028,11.999761072538984
Oriental,GLP,2028,27.528139491694922
Surocciden,GASNACIO,2028,11.999761072538984
Surocciden,GASIMPOR,2028,11.999761072538984
Surocciden,ACPM,2028,19.327050338782566
Surocciden,CARBON,2028,2.1435225416588466
Surocciden,COMBUSTOLEO,2028,21.792146117380316
Surocciden,GAS-YOPAL,2028,11.999761072538984
Surocciden,GLP,2028,27.528139491694922
Caribe,GASNACIO,2028,11.999761072538984
Caribe,GASIMPOR,2028,11.999761072538984
Caribe,ACPM,2028,19.327050338782566
Caribe,CARBON,2028,2.1435225416588466
Caribe,COMBUSTOLEO,2028,21.792146117380316
Caribe,GAS-YOPAL,2028,11.999761072538984
Caribe,GLP,2028,27.528139491694922
Antioquia,GASNACIO_CCS,2028,11.999761072538984
Nordeste,GASNACIO_CCS,2028,11.999761072538984
Oriental,GASNACIO_CCS,2028,11.999761072538984
Surocciden,GASNACIO_CCS,2028,11.999761072538984
Caribe,GASNACIO_CCS,2028,11.999761072538984
Antioquia,CARBON_CCS,2028,2.1435225416588466
Nordeste,CARBON_CCS,2028,2.1435225416588466
Oriental,CARBON_CCS,2028,2.1435225416588466
Surocciden,CARBON_CCS,2028,2.1435225416588466
Caribe,CARBON_CCS,2028,2.1435225416588466
Antioquia,GASNACIO,2033,12.611869486037229
Antioquia,GASIMPOR,2033,12.611869486037229
Antioquia,ACPM,2033,20.31292414484909
Antioquia,CARBON,2033,2.252863733899344
Antioquia,COMBUSTOLEO,2033,22.90376458261441
Antioquia,GAS-YOPAL,2033,12.611869486037229
Antioquia,GLP,2033,28.932351266326073
Nordeste,GASNACIO,2033,12.611869486037229
Nordeste,GASIMPOR,2033,12.611869486037229
Nordeste,ACPM,2033,20.31292414484909
Nordeste,CARBON,2033,2.252863733899344
Nordeste,COMBUSTOLEO,2033,22.90376458261441
Nordeste,GAS-YOPAL,2033,12.611869486037229
Nordeste,GLP,2033,28.932351266326073
Oriental,GASNACIO,2033,12.611869486037229
Oriental,GASIMPOR,2033,12.611869486037229
Oriental,ACPM,2033,20.31292414484909
Oriental,CARBON,2033,2.252863733899344
Oriental,COMBUSTOLEO,2033,22.90376458261441
Oriental,GAS-YOPAL,2033,12.611869486037229
Oriental,GLP,2033,28.932351266326073
Surocciden,GASNACIO,2033,12.611869486037229
Surocciden,GASIMPOR,2033,12.611869486037229
Surocciden,ACPM,2033,20.31292414484909
Surocciden,CARBON,2033,2.252863733899344
Surocciden,COMBUSTOLEO,2033,22.90376458261441
Surocciden,GAS-YOPAL,2033,12.611869486037229
Surocciden,GLP,2033,28.932351266326073
Caribe,GASNACIO,2033,12.611869486037229
Caribe,GASIMPOR,2033,12.611869486037229
Caribe,ACPM,2033,20.31292414484909
Caribe,CARBON,2033,2.252863733899344
