GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
PAIPA 1,1963,3076000,143220,.
ZIPAEMG2,1964,1420000,143220,.
GUADALUPE 3,1972,1309000,43780,.
GUADALUPE 4,1972,1310000,43780,.
PAIPA 2,1975,3076000,143220,.
ZIPAEMG3,1976,1421000,143220,.
BARRANQUILL3,1980,1254000,143220,.
BARRANQUILL4,1980,1256000,143220,.
CARTAGENA2,1980,1273000,143220,.
CARTAGENA3,1980,1275000,143220,.
CARTAGGAS2,1980,3076000,143220,.
CARTAGGAS3,1980,3076000,143220,.
COMP. ESPINO,1980,3083000,43780,.
DESV RBLANCO,1980,3083000,43780,.
H_DonaTere,1980,3083000,43780,.
H_Flautas,1980,1315100,43780,.
H_SanJosMoII,1980,3083000,43780,.
H_Tumaco1,1980,3083000,43780,.
RB ACHU-ESPI,1980,3083000,43780,.
RB ACHURY,1980,3083000,43780,.
RB ESPI-ALIC,1980,3083000,43780,.
RIOGRANDE 1,1980,3083000,43780,.
S ACUEDU-BOG,1980,3083000,43780,.
T_AguaAzul1,1980,3076000,143220,.
T_AguaAzul2,1980,3076000,143220,.
T_ArgoCartag,1980,3076000,143220,.
T_ArgosYumbo,1980,3076000,143220,.
T_AutArCairo,1980,3076000,143220,.
T_AutFertico,1980,3076000,143220,.
T_AutHormiga,1980,3076000,143220,.
T_AutoFamili,1980,3076000,143220,.
T_AutogCDSTM,1980,3076000,143220,.
T_AutoUnibol,1980,3076000,143220,.
T_AutoYaguar,1980,3076000,143220,.
T_AutTurgas,1980,3076000,143220,.
T_Bello,1980,3076000,143220,.
T_Bioenergy,1980,3076000,143220,.
T_BiogDJuana,1980,1700,143220,.
T_Castilla1,1980,3076000,143220,.
T_CoCocaCola,1980,3076000,143220,.
T_CoColtejer,1980,9400,143220,.
T_CogCabanas,1980,3076000,143220,.
T_CogIncauca,1980,10000,143220,.
T_CogPapeles,1980,3076000,143220,.
T_CogProenca,1980,19900,143220,.
T_CoIngscarl,1980,3076000,143220,.
T_CoManuelit,1980,3076000,143220,.
T_CoMayagues,1980,19900,143220,.
T_CoProviden,1980,14000,143220,.
T_CoRioPaila,1980,3076000,143220,.
T_CoRisarald,1980,15000,143220,.
T_DonJuanaII,1980,3076000,143220,.
T_EgipPalmas,1980,3076000,143220,.
T_IngCarmerI,1980,3076000,143220,.
T_IngPichich,1980,3076000,143220,.
T_IngPichiI,1980,3076000,143220,.
T_Mechero4,1980,3076000,143220,.
T_Mechero5,1980,3076000,143220,.
T_Mechero6,1980,3076000,143220,.
T_Piedras,1980,3076000,143220,.
T_ProencaII,1980,3076000,143220,.
T_Reficar,1980,3076000,143220,.
T_Tequendama,1980,3076000,143220,.
T_TerBolivar,1980,3076000,143220,.
T_TerCapacho,1980,3076000,143220,.
T_Termotame,1980,3076000,143220,.
T_TermYopal1,1980,1396000,143220,.
T_UatOrito,1980,3076000,143220,.
TUNEL CHUZA,1980,3083000,43780,.
ZIPAEMG4,1981,1422000,143220,.
PAIPA 3,1982,3076000,143220,.
GUAJ1GAS,1983,3076000,143220,.
GUAJIRA1,1983,1311000,143220,.
H_Ayura,1983,3083000,43780,.
TASAJERO 1,1985,1389000,143220,.
ZIPAEMG5,1985,1423000,143220,.
GUAJ2GAS,1987,3076000,143220,.
GUAJIRA2,1987,1313000,143220,.
SAN CARLOS,1987,1384000,43780,.
LA GUACA,1988,1322000,43780,.
FLORES 1,1993,1307000,143220,.
FLORES1GN,1993,3076000,143220,.
PROELECTRIC1,1993,1367000,143220,.
PROELECTRIC2,1993,1369000,143220,.
LA TASAJERA,1994,1323000,43780,.
CARTAGENA1,1995,1271000,143220,.
CARTAGGAS1,1995,3076000,143220,.
TERMODORADA1,1997,1403000,143220,.
TERMODORAGAS,1997,3076000,143220,.
MERILECTRICA,1998,1343000,143220,.
TEBSAB,1998,1393000,143220,.
TEBSAGIM,1998,3076000,143220,.
TERMOSIERRA,1998,1406000,143220,.
TSIERRAGAS,1998,3076000,143220,.
PAIPA 4,1999,3076000,143220,.
TERMOEMCALI,1999,3076000,143220,.
TERMOEMCGAS,1999,3076000,143220,.
CANDELARIA1,2000,1267000,143220,.
CANDELARIA2,2000,1269000,143220,.
TERMOCENTRO,2000,1401000,143220,.
PORCE II,2001,1363000,43780,.
MIEL I,2002,1344000,43780,.
PORCE III,2002,1364000,43780,.
H_ElLimonar,2003,3083000,43780,.
TERMO YOPAL2,2004,1397000,143220,.
FLORES4,2010,3076000,143220,.
FLORES4GIM,2010,3076000,143220,.
TERMOVAGAS,2011,3076000,143220,.
TERMOVALLE,2011,3076000,143220,.
DARIO VALENC,2014,1293000,43780,.
SALTO II,2014,1382000,43780,.
EL QUIMBO,2015,1298000,43780,.
TASAJERO 2,2015,1390000,143220,.
TC_GECELCA3,2015,1392000,143220,.
TC_GECELCA32,2018,1391000,143220,.
TERMONORTE,2018,1405000,143220,.
TERMOYOPALG3,2020,3076000,143220,.
TERMOYOPALG4,2020,3076000,143220,.
TERMOYOPALG5,2021,3076000,143220,.
ELTESORITO,2022,3076000,143220,.
S_Andaluci,2022,1327000,15970,.
H_RioCali,1925,3083000,43780,.
H_SanCancio,1929,3083000,43780,.
H_Patico,1930,3083000,43780,.
H_PaticoCab,1930,3083000,43780,.
