GENERATION_PROJECT,build_year,build_gen_predetermined
AF_RIOCUCUA,1980,0.0
AF_SNMARCOS,1980,0.0
ALTOANCHICAY,1974,355.0
AMOYA,2013,80.0
BAJOANCHICAY,1957,72.0
BARRANQUILL3,1980,63.0
BARRANQUILL4,1980,64.0
BETANIA,1987,540.0
DS_SNMARCOS,2022,0.0
CALDERAS,1996,19.9
CALIMA,1967,132.0
CAMPOALEGRE,2023,3.0
CANDELARIA1,2000,162.0
CANDELARIA2,2000,162.0
CARTAGENA1,1995,62.0
CARTAGENA2,1980,56.0
CARTAGENA3,1980,66.0
CARTAGGAS1,1995,62.0
CARTAGGAS2,1980,56.0
CARTAGGAS3,1980,66.0
CHARQUITO,2003,19.4
CHINCHINA,1980,3.0
CHIVOR,1977,1000.0
CHUZA,1982,0.0
COMP. ESPINO,1980,0.0
CUCUANA,2015,58.0
DARIO VALENC,2014,150.0
DESANFRAN,1980,468.0
DESV RBLANCO,1980,0.0
DOLORES,1980,0.0
E_Magdalena,2023,100.0
EL QUIMBO,2015,400.0
ELTESORITO,2022,200.0
ESCUELAMINAS,2019,55.0
ESMERALDA,1963,30.0
ESTRELLA,1980,0.0
FLORES 1,1993,160.0
FLORES1GN,1993,160.0
FLORES4,2010,450.0
FLORES4GIM,2010,450.0
GUADALUPE 3,1972,270.0
GUADALUPE 4,1972,202.0
GUAJ1GAS,1983,145.0
GUAJ2GAS,1987,145.0
GUAJIRA1,1983,145.0
GUAJIRA2,1987,145.0
GUARINO,1980,0.0
GUATAPE,1980,560.0
GUAVIO,1993,1250.0
H_AguaFresca,2007,7.29
H_Alejandria,2016,15.0
H_AltoOvejas,1939,9.0
H_Amaime,2010,19.17
H_Amalfi,2007,0.81
H_America,1997,0.41
H_Asnazu,1934,0.45
H_AuresBajo,1980,19.4
H_AutCemNare,2004,9.0
H_Ayura,1983,16.7
H_Barrancas,1980,4.7
H_Barroso,2012,19.9
H_Bayona,1943,0.6
H_Belmonte,1939,3.4
H_Buco,1980,1.0
H_CampestreC,1956,0.7
H_CampestreE,1997,0.87
H_Cantayus,1980,4.32
H_Caracoli,2023,2.6
H_Caruquia,2010,9.5
H_Cascada,1954,3.0
H_CascadaAnt,2007,2.3
H_CascadaGra,2023,2.0
H_Cauquillo,1980,20.0
H_Cauya,1980,2.0
H_CHLaNoque,2023,9.9
H_Chorrera,1980,15.0
H_Coconuco,2000,4.5
H_Cocuyo,1980,0.7
H_Coello,1980,1.2
H_Currucucue,2010,1.25
H_DonaTere,1980,1.0
H_Dovio,1980,14.0
H_ElBosque,1935,2.28
H_ElEden,1980,19.9
