GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen,gen_min_load_fraction,gen_startup_om,gen_storage_efficiency
ALTOANCHICAY,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.1946,0.1735,.,.,.,.,0,0,.,.,.
AMOYA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.0574,0.0117,.,.,.,.,0,0,.,.,.
BAJOANCHICAY,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.0314,0.018,.,.,.,.,0,0,.,.,.
BARRANQUILL3,Thermal,GASIMPOR,Caribe,80,0,0,12.0573,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.2780333333333333,.
BARRANQUILL4,Thermal,GASIMPOR,Caribe,80,0,0,13.42,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.2780333333333333,.
BETANIA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.1069,0.0234,.,.,.,.,0,0,.,.,.
C_LLERAS_R,Hidro,Water,Antioquia,80,0,0,.,1.39,0,0.1,0.1,.,.,.,.,0,0,.,.,.
CALDERAS,Hidro,Water,Antioquia,80,0,0,.,1.39,0,0.1069,0.0234,.,.,.,.,0,0,.,.,.
CALIMA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.3327,0.0792,.,.,.,.,0,0,.,.,.
CANDELARIA1,Thermal,GASIMPOR,Caribe,80,0,0,11.8364,5.53,0,0.0304,0.0149,.,1,.,.,0,0,100.0,0.1455095541401274,.
CANDELARIA2,Thermal,GASIMPOR,Caribe,80,0,0,11.6017,5.53,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.1455095541401274,.
CARTAGENA1,Thermal,COMBUSTOLEO,Caribe,80,0,0,13.665,7.08,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.33615384615384614,.
CARTAGENA2,Thermal,COMBUSTOLEO,Caribe,80,0,0,11.5167,7.08,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.25698387096774195,.
CARTAGENA3,Thermal,COMBUSTOLEO,Caribe,80,0,0,13.8215,7.08,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.24933333333333332,.
CARTAGGAS1,Thermal,GASNACIO,Caribe,80,0,0,15.7148,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.33615384615384614,.
CARTAGGAS2,Thermal,GASNACIO,Caribe,80,0,0,13.582,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.25698387096774195,.
CARTAGGAS3,Thermal,GASNACIO,Caribe,80,0,0,13.2503,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.24933333333333332,.
CHARQUITO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
CHIVOR,Hidro,Water,Oriental,80,0,0,.,1.39,0,0.2232,0.0093,.,.,.,.,0,0,.,.,.
CUCUANA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.15,0.15,.,.,.,.,0,0,.,.,.
DARIO VALENC,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
EL QUIMBO,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
ELTESORITO,Thermal,GASNACIO,Caribe,80,0,0,8.6441,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.08,.
ESCUELAMINAS,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
ESMERALDA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,0.1243,0.0218,.,.,.,.,0,0,.,.,.
FLORES 1,Thermal,GASIMPOR,Caribe,80,0,0,8.3571,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.11376875,.
