GENERATION_GENERATION_PROJECTS,hydro_efficiency,hydraulic_location
AF_RIOCUCUA,0,AF_RIOCUCUA_CUCUANA
AF_SNMARCOS,0,AF_SNMARCOS_DS_SNMARCOS
ALTOANCHICAY,35.742,ALTOANCHICAY_BAJOANCHICAY
BAJOANCHICAY,0.6038,ALTOANCHICAY_BAJOANCHICAY
BETANIA,0.5895,EL QUIMBO_BETANIA
C_LLERAS_R,11.738,C_LLERAS_R_PORCE II
CALDERAS,36.716,CALDERAS_SAN CARLOS
CAMPOALEGRE,0,CAMPOALEGRE_INSULA
CHARQUITO,11.483,CHARQUITO_SALTO II
CHINCHINA,0,CHINCHINA_INSULA
CHIVOR,68.117,TUNJITA_CHIVOR
CHUZA,0,CHUZA_TUNEL CHUZA
COMP. ESPINO,0,COMP. ESPINO_S ACUEDU-BOG
CUCUANA,59.476,AF_RIOCUCUA_CUCUANA
DARIO VALENC,80.779,LAGUN-LIMON_DARIO VALENC
DESANFRAN,0,DESANFRAN_SANFRANCISCO
DESV RBLANCO,0,DESV RBLANCO_TUNEL CHUZA
DOLORES,0,DOLORES_TENCHE
DS_SNMARCOS,0,DS_SNMARCOS_CUCUANA
EL QUIMBO,10.818,EL QUIMBO_BETANIA
ESCUELAMINAS,1.603,ESCUELAMINAS_GUATAPE
ESMERALDA,13.135,ESMERALDA_SANFRANCISCO
ESTRELLA,0,ESTRELLA_ESMERALDA
GUADALUPE 3,43.136,GUADALUPE 3_GUADALUPE 4
GUADALUPE 4,35.158,GUADALUPE 4_PORCE III
GUARINO,0,GUARINO_MIEL I
GUATAPE,7.102,GUATAPE_PLAYAS
INSULA,0.85,INSULA_ESMERALDA
ITUANGO,17.019,SALVAJINA_ITUANGO
JAGUAS,23.737,JAGUAS_PLAYAS
LA GUACA,89.128,PARAISO_LA GUACA
LA TASAJERA,8.136,LA TASAJERA_C_LLERAS_R
LAGUN-LIMON,23.188,LAGUN-LIMON_DARIO VALENC
MANSO,0,MANSO_MIEL I
MIEL I,19.667,MANSO_MIEL I
MIRAFLORES,0,MIRAFLORES_TENCHE
MUNA,0,MUNA_PARAISO
NECHI,0,NECHI_PAJARITO
NEGRO,0,NEGRO_NEGRORUCIO
NEGRORUCIO,0,NEGRORUCIO_CHIVOR
NEUSA,0,NEUSA_RB ACHU-ESPI
NIQUIA,0,NIQUIA_C_LLERAS_R
PAJARITO,0,PAJARITO_DOLORES
PARAISO,74.921,PARAISO_LA GUACA
PLAYAS,17.245,PLAYAS_SAN CARLOS
PORCE II,20.773,PORCE II_PORCE III
PORCE III,30.719,PORCE II_PORCE III
QUEBRADONA,0,QUEBRADONA_RIOGRANDE 1
RB ACHU-ESPI,0,RB ACHU-ESPI_COMP. ESPINO
RB ACHURY,0,RB ACHURY_RB ACHU-ESPI
RB ESPI-ALIC,0,RB ESPI-ALIC_MUNA
RIOGRANDE 1,24.285,RIOGRANDE 1_PORCE II
RUCIO,0,RUCIO_NEGRORUCIO
S ACUEDU-BOG,0,S ACUEDU-BOG_RB ESPI-ALIC
SALTO II,34.155,SALTO II_LAGUN-LIMON
SALVAJINA,0.8639,SALVAJINA_ITUANGO
SAN CARLOS,53.635,CALDERAS_SAN CARLOS
SANFRANCISCO,15.781,DESANFRAN_SANFRANCISCO
SISGA,0,SISGA_RB ACHURY
TENCHE,0,TENCHE_TRONERAS
TEQUEND1-4,32.347,TEQUEND1-4_LAGUN-LIMON
TOMINE,0,TOMINE_RB ACHURY
TRONERAS,0.6297,TRONERAS_GUADALUPE 3
TUNEL CHUZA,0,TUNEL CHUZA_S ACUEDU-BOG
TUNJITA,0,TUNJITA_CHIVOR
