LOAD_ZONE,timepoints,zone_demand_mw
Antioquia,25,1016.7278323076923
Caribe,25,2235.5944407692314
Nordeste,25,895.7990323076924
Oriental,25,2004.9276792307694
Surocciden,25,1686.7423338461535
Nordeste,26,890.6544646153845
Oriental,26,1993.4133961538462
Surocciden,26,1677.0553884615385
Caribe,26,2222.755440769231
Antioquia,26,1010.8887699999998
Antioquia,27,971.2895084615385
Caribe,27,2135.684064615384
Nordeste,27,855.7651084615385
Oriental,27,1915.3259715384613
Surocciden,27,1611.3605669230772
Antioquia,28,940.9000715384616
Caribe,28,2068.863375384615
Nordeste,28,828.9901669230769
Oriental,28,1855.3997853846156
Surocciden,28,1560.944766153846
Nordeste,29,809.9893007692307
Antioquia,29,919.3341746153848
Caribe,29,2021.4439984615383
Oriental,29,1812.8731007692306
Surocciden,29,1525.1671369230767
Nordeste,30,800.8056023076923
Caribe,30,1998.5247630769231
Oriental,30,1792.3186507692312
Surocciden,30,1507.8747123076923
Antioquia,30,908.9107161538461
Oriental,31,1765.6502423076922
Antioquia,31,895.3867792307691
Caribe,31,1968.7881553846155
Nordeste,31,788.8901900000001
Surocciden,31,1485.4386238461536
Nordeste,32,772.0522569230772
Caribe,32,1926.766683846154
Surocciden,32,1453.7336815384613
Antioquia,32,876.2758007692308
Oriental,32,1727.9645107692306
Antioquia,33,914.0730623076923
Caribe,33,2009.8757946153846
Nordeste,33,805.3539423076923
Oriental,33,1802.498493846154
Surocciden,33,1516.4389961538461
Surocciden,34,1597.8009561538458
Oriental,34,1899.2084876923077
Nordeste,34,848.5638407692306
Caribe,34,2117.7122676923077
Antioquia,34,963.1161000000001
Nordeste,35,888.4795630769232
Surocciden,35,1672.9601638461536
Antioquia,35,1008.4202661538461
Caribe,35,2217.327660769231
Oriental,35,1988.54565
Nordeste,36,921.1788930769233
Oriental,36,2061.731472307692
Caribe,36,2298.933505384615
Antioquia,36,1045.5338569230769
Surocciden,36,1734.5312707692308
Caribe,37,2366.0094592307696
Oriental,37,2121.886583846154
Surocciden,37,1785.1396692307692
Nordeste,37,948.0561161538461
Antioquia,37,1076.039383076923
Surocciden,38,1807.352176923077
Oriental,38,2148.2892369230767
Antioquia,38,1089.4285507692307
Caribe,38,2395.449734615385
Nordeste,38,959.8527861538462
Caribe,39,2393.9320807692307
Oriental,39,2146.9281730769235
Nordeste,39,959.2446646153846
Antioquia,39,1088.7383361538464
Surocciden,39,1806.2071153846157
Antioquia,40,1074.3858400000004
Surocciden,40,1782.3964523076925
Oriental,40,2118.6258900000003
Nordeste,40,946.5992438461539
Caribe,40,2362.373623076923
Surocciden,41,1763.985616923077
Oriental,41,2096.742053846154
Nordeste,41,936.8215746153849
Caribe,41,2337.9720530769227
Antioquia,41,1063.2882292307693
Oriental,42,2078.9890099999993
Nordeste,42,928.8895376923075
Caribe,42,2318.176523076923
Surocciden,42,1749.0500107692305
Antioquia,42,1054.2854023076925
Antioquia,43,1056.320556153846
Nordeste,43,930.6826315384617
Oriental,43,2083.0022115384613
Surocciden,43,1752.42631
Caribe,43,2322.6514423076924
Caribe,44,2514.2997015384612
Oriental,44,2254.8763630769226
Surocciden,44,1897.02375
Nordeste,44,1007.475773846154
Antioquia,44,1143.4804253846155
Antioquia,45,1182.4650299999998
Caribe,45,2600.0195576923074
Nordeste,45,1041.8235807692306
Oriental,45,2331.7517184615385
Surocciden,45,1961.698857692308
Antioquia,46,1167.7384392307692
Nordeste,46,1028.8485584615382
Surocciden,46,1937.2675776923084
Caribe,46,2567.63854
Oriental,46,2302.711745384616
Antioquia,47,1129.9147023076926
Caribe,47,2484.471213076923
Nordeste,47,995.5235484615384
Oriental,47,2228.125553846154
Surocciden,47,1874.5183361538466
Oriental,48,2121.42646
Antioquia,48,1075.8060476923076
Caribe,48,2365.4963969230766
Nordeste,48,947.8505338461539
Surocciden,48,1784.7525661538461
Oriental,1,2140.793562405063
Nordeste,1,956.5037293670886
Surocciden,1,1801.0460778481004
Antioquia,1,1085.627385443038
Caribe,1,2387.0916825316463
Nordeste,2,900.3942189873419
Oriental,2,2015.2123703797465
Surocciden,2,1695.3948286075945
Caribe,2,2247.0623848101263
Antioquia,2,1021.9433464556964
Antioquia,3,987.7477573417722
Caribe,3,2171.8726769620253
Nordeste,3,870.2658258227847
Oriental,3,1947.780672911393
Surocciden,3,1638.664654050633
Surocciden,4,1598.24789
Antioquia,4,963.3855018987342
Caribe,4,2118.304629873419
Nordeste,4,848.8011974683545
Oriental,4,1899.73973278481
Antioquia,5,952.3669978481013
Nordeste,5,839.0932263291138
Oriental,5,1878.0118893670883
Surocciden,5,1579.9682917721516
Caribe,5,2094.077001012657
Antioquia,6,972.4236332911389
Caribe,6,2138.177793164557
Nordeste,6,856.7643417721521
Oriental,6,1917.5623989873416
Surocciden,6,1613.242069367088
Surocciden,7,1693.0783377215184
Nordeste,7,899.1639713924052
Oriental,7,2012.4588982278472
Antioquia,7,1020.5470212658229
Caribe,7,2243.9921263291144
Antioquia,8,1041.0838413924046
Caribe,8,2289.148754556963
Nordeste,8,917.2581588607591
Surocciden,8,1727.1487374683547
Oriental,8,2052.9563024050626
Surocciden,9,1829.1670446835444
Oriental,9,2174.2192399999994
Nordeste,9,971.4382783544303
Caribe,9,2424.3629817721517
Antioquia,9,1102.5780305063295
Antioquia,10,1166.278648227848
Nordeste,10,1027.562395316455
Caribe,10,2564.428733924051
Oriental,10,2299.8331248101267
Surocciden,10,1934.845798227848
Surocciden,11,2001.5908908860763
Oriental,11,2379.1689439240517
Nordeste,11,1063.0095345569619
Caribe,11,2652.892132025317
Antioquia,11,1206.51099
Surocciden,12,2073.6360129113923
Nordeste,12,1101.2714253164556
Caribe,12,2748.3801462025317
Antioquia,12,1249.9380624050634
Oriental,12,2464.8045839240503
Caribe,13,2820.4218478481007
Oriental,13,2529.4130834177213
Surocciden,13,2127.991037215189
Antioquia,13,1282.7019672151905
Nordeste,13,1130.1384173417716
Antioquia,14,1272.7403817721513
Caribe,14,2798.5181840506325
Nordeste,14,1121.3616558227848
Oriental,14,2509.769421898734
Surocciden,14,2111.4648574683533
Antioquia,15,1279.293312278481
Caribe,15,2812.926853544303
Nordeste,15,1127.1351856962026
Oriental,15,2522.691416582279
Surocciden,15,2122.3361107594947
Oriental,16,2551.825492658228
Surocciden,16,2146.846559493671
Antioquia,16,1294.067624177215
Caribe,16,2845.412803164557
Nordeste,16,1140.1522518987344
Surocciden,17,2145.886926075949
Caribe,17,2844.140912911393
Antioquia,17,1293.4891801265821
Oriental,17,2550.6848348101266
Nordeste,17,1139.6426077215185
Antioquia,18,1272.7315149367084
Caribe,18,2798.498688354431
Nordeste,18,1121.3538432911394
Oriental,18,2509.751936835443
Surocciden,18,2111.4501472151906
Antioquia,19,1239.7719015189875
Caribe,19,2726.0266589873427
Nordeste,19,1092.314419493671
Oriental,19,2444.75751113924
Surocciden,19,2056.770443797468
Antioquia,20,1301.0093984810132
Nordeste,20,1146.2683772151897
Oriental,20,2565.514266455695
Surocciden,20,2158.3629024050642
Caribe,20,2860.6764677215183
Oriental,21,2617.683586582278
Surocciden,21,2202.2528645569614
Nordeste,21,1169.5775615189873
Caribe,21,2918.84786443038
Antioquia,21,1327.465215949367
Caribe,22,2851.9445531645583
Nordeste,22,1142.7695131645567
Oriental,22,2557.6833026582267
Surocciden,22,2151.7747260759493
Antioquia,22,1297.038203670886
Caribe,23,2720.8517127848095
Surocciden,23,2052.8659791139244
Oriental,23,2440.116510886075
Nordeste,23,1090.2408278481012
Antioquia,23,1237.4183837974686
Oriental,24,2281.8884881012655
Nordeste,24,1019.5447562025315
Caribe,24,2544.4195686075946
Antioquia,24,1157.1786637974685
Surocciden,24,1919.7490054430382
Nordeste,121,925.4126546153846
Oriental,121,2071.207243846154
Surocciden,121,1742.5032238461538
Antioquia,121,1050.3391576923077
Caribe,121,2309.4994646153846
Antioquia,122,1038.4132138461537
Oriental,122,2047.689984615385
Nordeste,122,914.9051738461538
Caribe,122,2283.2765453846155
Surocciden,122,1722.7181915384617
Surocciden,123,1659.804556153846
Oriental,123,1972.9083846153846
Caribe,123,2199.891330769231
Antioquia,123,1000.4903838461539
Nordeste,123,881.4928553846154
Antioquia,124,970.0031499999999
Caribe,124,2132.855602307693
Nordeste,124,854.6317484615385
Oriental,124,1912.789346923077
Surocciden,124,1609.2265092307694
Surocciden,125,1571.1157853846157
Oriental,125,1867.4894561538458
Antioquia,125,947.03092
Caribe,125,2082.3439615384614
Nordeste,125,834.3918161538461
Antioquia,126,934.36592
Caribe,126,2054.4959984615384
Nordeste,126,823.2331838461537
Oriental,126,1842.5148215384618
Surocciden,126,1550.1046669230768
Antioquia,127,919.1955315384615
Caribe,127,2021.1391476923077
Nordeste,127,809.8671476923076
Oriental,127,1812.599700769231
Surocciden,127,1524.9371284615386
Caribe,128,1973.363919230769
Antioquia,128,897.4677969230769
Oriental,128,1769.7538846153848
Surocciden,128,1488.8910099999996
Nordeste,128,790.723693076923
Antioquia,129,935.7420599999999
Caribe,129,2057.5218684615384
Nordeste,129,824.4456446153848
Oriental,129,1845.2284869230768
Surocciden,129,1552.3876684615384
Oriental,130,1940.5444669230774
Surocciden,130,1632.576843846154
Caribe,130,2163.8039461538465
Antioquia,130,984.078173076923
Nordeste,130,867.0326992307693
Antioquia,131,1025.5934723076923
Caribe,131,2255.0883338461535
Nordeste,131,903.6102046153845
Oriental,131,2022.4102092307694
Surocciden,131,1701.4503576923075
