load_zone,fuel,period,fuel_cost
Antioquia,GASNACIO,2023,11.41736092
Antioquia,GASIMPOR,2023,11.41736092
Antioquia,ACPM,2023,18.38902524
Antioquia,CARBON,2023,2.039488149
Antioquia,COMBUSTOLEO,2023,20.73447929
Antioquia,GAS-YOPAL,2023,11.41736092
Antioquia,GLP,2023,26.19208017
Nordeste,GASNACIO,2023,11.41736092
Nordeste,GASIMPOR,2023,11.41736092
Nordeste,ACPM,2023,18.38902524
Nordeste,CARBON,2023,2.039488149
Nordeste,COMBUSTOLEO,2023,20.73447929
Nordeste,GAS-YOPAL,2023,11.41736092
Nordeste,GLP,2023,26.19208017
Oriental,GASNACIO,2023,11.41736092
Oriental,GASIMPOR,2023,11.41736092
Oriental,ACPM,2023,18.38902524
Oriental,CARBON,2023,2.039488149
Oriental,COMBUSTOLEO,2023,20.73447929
Oriental,GAS-YOPAL,2023,11.41736092
Oriental,GLP,2023,26.19208017
Surocciden,GASNACIO,2023,11.41736092
Surocciden,GASIMPOR,2023,11.41736092
Surocciden,ACPM,2023,18.38902524
Surocciden,CARBON,2023,2.039488149
Surocciden,COMBUSTOLEO,2023,20.73447929
Surocciden,GAS-YOPAL,2023,11.41736092
Surocciden,GLP,2023,26.19208017
Caribe,GASNACIO,2023,11.41736092
Caribe,GASIMPOR,2023,11.41736092
Caribe,ACPM,2023,18.38902524
Caribe,CARBON,2023,2.039488149
Caribe,COMBUSTOLEO,2023,20.73447929
Caribe,GAS-YOPAL,2023,11.41736092
Caribe,GLP,2023,26.19208017
Antioquia,GASNACIO_CCS,2023,11.41736092
Nordeste,GASNACIO_CCS,2023,11.41736092
Oriental,GASNACIO_CCS,2023,11.41736092
Surocciden,GASNACIO_CCS,2023,11.41736092
Caribe,GASNACIO_CCS,2023,11.41736092
Antioquia,CARBON_CCS,2023,2.039488149
Nordeste,CARBON_CCS,2023,2.039488149
Oriental,CARBON_CCS,2023,2.039488149
Surocciden,CARBON_CCS,2023,2.039488149
Caribe,CARBON_CCS,2023,2.039488149
Antioquia,GASNACIO,2024,11.7598817476
Antioquia,GASIMPOR,2024,11.7598817476
Antioquia,ACPM,2024,18.9406959972
Antioquia,CARBON,2024,2.10067279347
Antioquia,COMBUSTOLEO,2024,21.3565136687
Antioquia,GAS-YOPAL,2024,11.7598817476
Antioquia,GLP,2024,26.977842575100002
Nordeste,GASNACIO,2024,11.7598817476
Nordeste,GASIMPOR,2024,11.7598817476
Nordeste,ACPM,2024,18.9406959972
Nordeste,CARBON,2024,2.10067279347
Nordeste,COMBUSTOLEO,2024,21.3565136687
Nordeste,GAS-YOPAL,2024,11.7598817476
Nordeste,GLP,2024,26.977842575100002
Oriental,GASNACIO,2024,11.7598817476
Oriental,GASIMPOR,2024,11.7598817476
Oriental,ACPM,2024,18.9406959972
Oriental,CARBON,2024,2.10067279347
Oriental,COMBUSTOLEO,2024,21.3565136687
Oriental,GAS-YOPAL,2024,11.7598817476
Oriental,GLP,2024,26.977842575100002
Surocciden,GASNACIO,2024,11.7598817476
Surocciden,GASIMPOR,2024,11.7598817476
Surocciden,ACPM,2024,18.9406959972
Surocciden,CARBON,2024,2.10067279347
Surocciden,COMBUSTOLEO,2024,21.3565136687
Surocciden,GAS-YOPAL,2024,11.7598817476
Surocciden,GLP,2024,26.977842575100002
Caribe,GASNACIO,2024,11.7598817476
Caribe,GASIMPOR,2024,11.7598817476
Caribe,ACPM,2024,18.9406959972
Caribe,CARBON,2024,2.10067279347
Caribe,COMBUSTOLEO,2024,21.3565136687
Caribe,GAS-YOPAL,2024,11.7598817476
Caribe,GLP,2024,26.977842575100002
Antioquia,GASNACIO_CCS,2024,11.7598817476
Nordeste,GASNACIO_CCS,2024,11.7598817476
Oriental,GASNACIO_CCS,2024,11.7598817476
Surocciden,GASNACIO_CCS,2024,11.7598817476
Caribe,GASNACIO_CCS,2024,11.7598817476
Antioquia,CARBON_CCS,2024,2.10067279347
Nordeste,CARBON_CCS,2024,2.10067279347
Oriental,CARBON_CCS,2024,2.10067279347
Surocciden,CARBON_CCS,2024,2.10067279347
Caribe,CARBON_CCS,2024,2.10067279347
