GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
AMOYA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.0574,0.0117,.,.
BARRANQUILL3,Thermal,GASIMPOR,Caribe,200,0,10.5077,5.53,0,0.0304,.,.,.
BARRANQUILL4,Thermal,GASIMPOR,Caribe,200,0,11.6696,5.53,0,0.0304,.,.,.
BETANIA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.1069,0.0234,.,.
C_LLERAS_R,Hidro,Water,Antioquia,200,0,.,1.39,0,0.1,0.1,.,.
CALDERAS,Hidro,Water,Antioquia,200,0,.,1.39,0,0.1069,0.0234,.,.
CALIMA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.3327,0.0792,.,.
CANDELARIA1,Thermal,GASIMPOR,Caribe,200,0,6.488,5.53,0,0.0304,0.0149,.,.
CANDELARIA2,Thermal,GASIMPOR,Caribe,200,0,6.488,5.53,0,0.0304,0.1814,.,.
CARTAGENA1,Thermal,COMBUSTOLEO,Caribe,200,0,13.665,7.08,0,0.0304,0.1814,.,.
CARTAGENA2,Thermal,COMBUSTOLEO,Caribe,200,0,11.8104,7.08,0,0.0304,0.1814,.,.
CARTAGENA3,Thermal,COMBUSTOLEO,Caribe,200,0,11.522,7.08,0,0.0304,0.1814,.,.
CHARQUITO,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
CHIVOR,Hidro,Water,Oriental,200,0,.,1.39,0,0.2232,0.0093,.,.
CUCUANA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.15,0.15,.,.
DARIO VALENC,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
EL QUIMBO,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
ELTESORITO,Thermal,GASNACIO,Caribe,200,0,7.5166,5.53,0,0.0304,.,.,.
ESCUELAMINAS,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
ESMERALDA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.1243,0.0218,.,.
FLORES 1,Thermal,GASIMPOR,Caribe,200,0,7.267,5.53,0,0.0304,.,.,.
FLORES4,Thermal,GASNACIO,Caribe,200,0,7.0066,5.53,0,0.0304,.,.,.
GUAJIRA1,Thermal,CARBON,Caribe,200,0,10.1549,8.62,0,0.0304,0.1814,.,.
GUAJIRA2,Thermal,CARBON,Caribe,200,0,10.216,8.62,0,0.0304,0.1128,.,.
GUATAPE,Hidro,Water,Antioquia,200,0,.,1.39,0,0.0516,0.0113,.,.
GUAVIO,Hidro,Water,Oriental,200,0,.,1.39,0,0.0639,0.0049,.,.
H_AguaFresca,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Alejandria,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Amaime,Menores,RunofRiver,Surocciden,200,1,.,1.39,0,0.0573,0.213,.,.
H_Amalfi,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_America,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Asnazu,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_AuresBajo,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_AutCemNare,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Ayura,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Barrancas,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Barroso,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Bayona,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Belmonte,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_CampestreC,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Cantayus,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Caracoli,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Caruquia,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Cascada,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_CascadaAbe,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_CascadaAnt,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_CascadaGra,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Bello,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Cauya,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Chorrera,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_PalmasSanGil,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_Coconuco,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Cocuyo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Coello,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Currucucue,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_ElBosque,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_ElEden,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_ElLimonar,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_LAGUNETA,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_ElMolino,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_ElPopal,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Florida,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Frisolera,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Guacaica,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Guanaquita,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_Guaviomeno,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_Herradura,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Inza,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_IquiraI,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_IquiraII,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_JuanGarcia,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_La_Vuelta,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_LaPita,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_LaRebusca,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
