hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
AMOYA,2023_Q1_holidays,40.37711,0.53926
AMOYA,2023_Q1_labor,38.59281,0.005849999999999999
AMOYA,2023_Q2_holidays,63.70993,0.02993
AMOYA,2023_Q2_labor,57.91185,0.0030299999999999997
AMOYA,2023_Q3_holidays,68.49121000000001,1.4005999999999998
AMOYA,2023_Q3_labor,67.93361999999999,0.03678
AMOYA,2023_Q4_holidays,61.74677,0.007809999999999999
AMOYA,2023_Q4_labor,62.698699999999995,0.00135
BETANIA,2023_Q1_holidays,166.36082499999998,59.84668
BETANIA,2023_Q1_labor,198.348595,59.29976
BETANIA,2023_Q2_holidays,330.08444499999996,0.00064
BETANIA,2023_Q2_labor,331.234955,0.23228000000000001
BETANIA,2023_Q3_holidays,258.03766499999995,59.88416
BETANIA,2023_Q3_labor,435.78991999999994,0.04942
BETANIA,2023_Q4_holidays,60.82217,59.42281
BETANIA,2023_Q4_labor,179.96924,59.164809999999996
CALDERAS,2023_Q1_holidays,8.09247,0.00015
CALDERAS,2023_Q1_labor,8.60939,0.00808
CALDERAS,2023_Q2_holidays,10.491924999999998,2.8217800000000004
CALDERAS,2023_Q2_labor,10.462415,0.01684
CALDERAS,2023_Q3_holidays,9.449675,0.69033
CALDERAS,2023_Q3_labor,9.002195,7.000000000000001e-05
CALDERAS,2023_Q4_holidays,10.670095,0.49407
CALDERAS,2023_Q4_labor,10.924645,0.01495
CALIMA,2023_Q1_holidays,131.6298,0.03599
CALIMA,2023_Q1_labor,131.208,0.006
CALIMA,2023_Q2_holidays,31.82441,0.17637
CALIMA,2023_Q2_labor,97.91013,0.00034
CALIMA,2023_Q3_holidays,132.17171,2.70181
CALIMA,2023_Q3_labor,131.256,0.012
CALIMA,2023_Q4_holidays,97.99105,0.01688
CALIMA,2023_Q4_labor,101.95936,0.00349
CHARQUITO,2023_Q1_holidays,17.550259999999998,0.96751
CHARQUITO,2023_Q1_labor,14.04354,0.04847
CHARQUITO,2023_Q2_holidays,19.03651,4.87642
CHARQUITO,2023_Q2_labor,19.000785,0.005809999999999999
CHARQUITO,2023_Q3_holidays,19.264965,5.08798
CHARQUITO,2023_Q3_labor,19.264490000000002,0.00741
CHARQUITO,2023_Q4_holidays,19.24104,0.05761
CHARQUITO,2023_Q4_labor,19.242385,0.00011999999999999999
CHIVOR,2023_Q1_holidays,402.498335,0.88719
CHIVOR,2023_Q1_labor,490.60254,0.22623
CHIVOR,2023_Q2_holidays,487.145465,1.0424200000000001
CHIVOR,2023_Q2_labor,500.75941,0.18027
CHIVOR,2023_Q3_holidays,863.8842,1.30438
CHIVOR,2023_Q3_labor,863.55573,1.02402
CHIVOR,2023_Q4_holidays,509.10509,0.12028
CHIVOR,2023_Q4_labor,623.132165,0.00483
CUCUANA,2023_Q1_holidays,19.543930000000003,1.3145
CUCUANA,2023_Q1_labor,18.23884,0.01231
CUCUANA,2023_Q2_holidays,32.94005,3.90522
CUCUANA,2023_Q2_labor,30.10428,0.01567
CUCUANA,2023_Q3_holidays,24.52864,0.03008
CUCUANA,2023_Q3_labor,27.66055,0.014410000000000001
CUCUANA,2023_Q4_holidays,27.28197,0.06929
CUCUANA,2023_Q4_labor,27.703740000000003,0.01745
C_LLERAS_R,2023_Q1_holidays,54.2454,15.555040000000002
C_LLERAS_R,2023_Q1_labor,55.577895,0.00875
C_LLERAS_R,2023_Q2_holidays,54.82341,8.9424
C_LLERAS_R,2023_Q2_labor,55.1154,0.028489999999999998
C_LLERAS_R,2023_Q3_holidays,54.99204,15.613040000000002
C_LLERAS_R,2023_Q3_labor,55.71711,0.08511
C_LLERAS_R,2023_Q4_holidays,54.940005,3.96478
C_LLERAS_R,2023_Q4_labor,54.83834,0.09328
DARIO VALENC,2023_Q1_holidays,81.33258000000001,0.03696
DARIO VALENC,2023_Q1_labor,75.15200999999999,0.49721
DARIO VALENC,2023_Q2_holidays,128.32118,0.2733
DARIO VALENC,2023_Q2_labor,122.5227,0.0675
DARIO VALENC,2023_Q3_holidays,128.09467,0.2335
DARIO VALENC,2023_Q3_labor,104.22530499999999,0.00464
DARIO VALENC,2023_Q4_holidays,104.55321,0.32172
DARIO VALENC,2023_Q4_labor,99.90171000000001,0.060200000000000004
EL QUIMBO,2023_Q1_holidays,164.75809,29.54363
EL QUIMBO,2023_Q1_labor,304.24293,35.24369
EL QUIMBO,2023_Q2_holidays,302.86951999999997,76.52663000000001
EL QUIMBO,2023_Q2_labor,280.89963,40.95992
EL QUIMBO,2023_Q3_holidays,299.91803500000003,77.38903
EL QUIMBO,2023_Q3_labor,301.01869,74.15267999999999
EL QUIMBO,2023_Q4_holidays,187.55698999999998,77.49339
EL QUIMBO,2023_Q4_labor,188.917845,8.35747
ESCUELAMINAS,2023_Q1_holidays,21.418015,10.28117
ESCUELAMINAS,2023_Q1_labor,20.52577,0.79247
ESCUELAMINAS,2023_Q2_holidays,42.743965,12.45958
ESCUELAMINAS,2023_Q2_labor,40.863475,0.05854
ESCUELAMINAS,2023_Q3_holidays,45.35288,10.276110000000001
ESCUELAMINAS,2023_Q3_labor,43.96046,1e-05
ESCUELAMINAS,2023_Q4_holidays,45.24595,8.70785
ESCUELAMINAS,2023_Q4_labor,42.69769,2.3851
ESMERALDA,2023_Q1_holidays,30.018585,5.9999999999999995e-05
ESMERALDA,2023_Q1_labor,30.003320000000002,0.00013000000000000002
ESMERALDA,2023_Q2_holidays,30.204585,0.0002
ESMERALDA,2023_Q2_labor,30.221725,1e-05
ESMERALDA,2023_Q3_holidays,26.264509999999998,0.0003
ESMERALDA,2023_Q3_labor,26.69255,1e-05
ESMERALDA,2023_Q4_holidays,29.075595,8.999999999999999e-05
ESMERALDA,2023_Q4_labor,29.810734999999998,1e-05
GUATAPE,2023_Q1_holidays,554.4600399999999,1.392
GUATAPE,2023_Q1_labor,554.472,0.672
GUATAPE,2023_Q2_holidays,484.50007,5.856
GUATAPE,2023_Q2_labor,483.108035,0.144
GUATAPE,2023_Q3_holidays,511.776,4.944
GUATAPE,2023_Q3_labor,486.216,0.912
GUATAPE,2023_Q4_holidays,457.89599999999996,8.688
GUATAPE,2023_Q4_labor,477.03603,0.072
GUAVIO,2023_Q1_holidays,905.72813,0.00148
GUAVIO,2023_Q1_labor,947.8574550000001,0.01912
GUAVIO,2023_Q2_holidays,723.856875,0.00874
GUAVIO,2023_Q2_labor,829.9236800000001,0.009859999999999999
GUAVIO,2023_Q3_holidays,618.2101749999999,5.9999999999999995e-05
GUAVIO,2023_Q3_labor,756.09907,0.00091
GUAVIO,2023_Q4_holidays,563.56053,0.00307
GUAVIO,2023_Q4_labor,757.3109300000001,0.00017999999999999998
H_ALBAN,2023_Q1_holidays,217.68,0.567
H_ALBAN,2023_Q1_labor,261.673,0.08
