LOAD_ZONE,timepoints,zone_demand_mw
Caribe,384,2877.074462307692
Antioquia,384,1308.4670569230768
Surocciden,384,2170.735089230769
Oriental,384,2580.2203284615384
Nordeste,384,1152.8390284615384
Surocciden,383,2295.6792846153844
Oriental,383,2728.7338684615383
Nordeste,383,1219.19468
Caribe,383,3042.674473846154
Antioquia,383,1383.7804215384615
Nordeste,382,1272.32144
Caribe,382,3175.259886923077
Antioquia,382,1444.07905
Oriental,382,2847.6392315384614
Surocciden,382,2395.7141684615385
Nordeste,381,1296.7779007692309
Oriental,381,2902.376324615385
Surocciden,381,2441.764396153846
Caribe,381,3236.2944776923077
Antioquia,381,1471.8370223076925
Surocciden,380,2450.8197284615385
Oriental,380,2913.139846923077
Nordeste,380,1301.5870276923076
Caribe,380,3248.296342307692
Antioquia,380,1477.2953615384615
Antioquia,379,1417.5876415384616
Caribe,379,3117.0102323076926
Surocciden,379,2351.7651592307693
Nordeste,379,1248.9808976923077
Oriental,379,2795.399727692308
Nordeste,378,1265.5332807692307
Caribe,378,3158.319066923077
Antioquia,378,1436.3745215384615
Oriental,378,2832.4463507692303
Surocciden,378,2382.932423846154
Nordeste,377,1286.1837061538463
Surocciden,377,2421.8160861538463
Oriental,377,2878.664985384615
Caribe,377,3209.855154615385
Antioquia,377,1459.8126592307692
Nordeste,376,1288.6786361538461
Surocciden,376,2426.513905384615
Caribe,376,3216.0816061538458
Antioquia,376,1462.6443946153847
Oriental,376,2884.2490015384615
Antioquia,375,1442.3063023076925
Oriental,375,2844.143473076923
Caribe,375,3171.361943076923
Surocciden,375,2392.773193846154
Nordeste,375,1270.7595392307692
Oriental,374,2825.537869230769
Nordeste,374,1262.4465792307694
Caribe,374,3150.6157646153847
Antioquia,374,1432.8711292307694
Surocciden,374,2377.1203299999997
Antioquia,373,1438.2729199999999
Surocciden,373,2386.0818515384617
Oriental,373,2836.1898830769233
Nordeste,373,1267.2058853846154
Caribe,373,3162.493293846154
Caribe,372,3085.217976153846
Surocciden,372,2327.7780969230766
Nordeste,372,1236.2417907692309
Oriental,372,2766.8877684615386
Antioquia,372,1403.1288153846153
Antioquia,371,1356.3645176923078
Caribe,371,2982.3920253846154
Nordeste,371,1195.0396015384615
Oriental,371,2674.6713138461537
Surocciden,371,2250.1965446153845
Antioquia,370,1312.7144876923076
Surocciden,370,2177.7815392307693
Oriental,370,2588.596013076923
Nordeste,370,1156.5812707692307
Caribe,370,2886.413767692308
Oriental,369,2449.4074138461538
Caribe,369,2731.211533846154
Nordeste,369,1094.3919892307692
Antioquia,369,1242.1299338461538
Surocciden,369,2060.682399230769
Surocciden,368,1946.7457484615384
Caribe,368,2580.2008323076925
Nordeste,368,1033.8822484615384
Oriental,368,2313.977869230769
Antioquia,368,1173.4516546153848
Caribe,367,2519.6351784615385
Surocciden,367,1901.0493346153849
Oriental,367,2259.6613315384616
Antioquia,367,1145.90695
Nordeste,367,1009.6136923076922
Caribe,366,2421.934201538462
Nordeste,366,970.4650707692308
Antioquia,366,1101.473443076923
Surocciden,366,1827.3345446153846
Oriental,366,2172.0410584615383
Caribe,365,2381.692532307692
Nordeste,365,954.3402984615385
Surocciden,365,1796.9724515384614
Antioquia,365,1083.1719023076923
Oriental,365,2135.9514915384616
Surocciden,364,1821.008356923077
Oriental,364,2164.5215046153844
Nordeste,364,967.1053430769231
Caribe,364,2413.549523846154
Antioquia,364,1097.660169230769
Nordeste,363,993.5919823076923
Caribe,363,2479.6507130769232
Oriental,363,2223.802430769231
Surocciden,363,1870.8813007692308
Antioquia,363,1127.7223823076924
Caribe,362,2569.8145684615383
Nordeste,362,1029.7204915384614
Oriental,362,2304.6632546153846
Surocciden,362,1938.9093784615386
Antioquia,362,1168.728076923077
Nordeste,361,1086.9667869230768
Caribe,361,2712.6808753846153
Antioquia,361,1233.7023615384614
Oriental,361,2432.788734615385
Surocciden,361,2046.7011330769228
Antioquia,360,1268.379622051282
Caribe,360,2788.9296887179485
Nordeste,360,1117.519561025641
Oriental,360,2501.170258717949
Surocciden,360,2104.2303956410256
Nordeste,359,1185.9841397435898
Caribe,359,2959.7928258974357
Antioquia,359,1346.0866085897437
Oriental,359,2654.403880769231
Surocciden,359,2233.145587948718
Surocciden,358,2324.8152397435897
Caribe,358,3081.291029615385
Nordeste,358,1234.6682714102565
Oriental,358,2763.366001794872
Antioquia,358,1401.3428767948717
Caribe,357,3145.047012820513
Antioquia,357,1430.3385124358974
Nordeste,357,1260.21518974359
Surocciden,357,2372.9187385897435
Oriental,357,2820.54369525641
Oriental,356,2817.370563076923
Nordeste,356,1258.7974384615386
Surocciden,356,2370.2491873076924
Antioquia,356,1428.729371025641
Caribe,356,3141.5088114102564
Surocciden,355,2245.510059230769
Caribe,355,2976.180593974359
Antioquia,355,1353.5396148717948
