logging output to logs\2024-06-25_23-28-06.log

================================================================================
Switch 2.0.7, https://switch-model.org
================================================================================
Arguments:
    log_run_to_file=True, logs_dir='logs', log_level='debug',
    inputs_dir='inputs', suffixes=['dual'], solver='cplex',
    solver_manager='serial', solver_options_string='lpmethod=4 solutiontype=2',
    tee=True, outputs_dir='outputs', no_save_solution=True, verbose=True

Modules:
    switch_model, switch_model.timescales, switch_model.financials,
    switch_model.balancing.load_zones, switch_model.energy_sources.properties,
    switch_model.generators.core.build, switch_model.generators.core.dispatch,
    switch_model.reporting, switch_model.generators.core.no_commit,
    switch_model.generators.extensions.hydro_simple,
    switch_model.generators.extensions.storage,
    switch_model.energy_sources.fuel_costs.simple,
    switch_model.policies.carbon_policies, switch_model.solve
================================================================================

Model defined in 0.10 s.

Loading inputs...
Data read in 0.83 s.

Constructing model instance from data and rules...
           0 seconds to construct Set PERIODS; 1 index total
Constructed 1 of 209 components (0%)
           0 seconds to construct Param period_start; 1 index total
           0 seconds to construct Param period_end; 1 index total
           0 seconds to construct BuildCheck min_data_check_0; 1 index total
           0 seconds to construct Set TIMESERIES; 1 index total
           0 seconds to construct Param ts_period; 8 indices total
           0 seconds to construct Param ts_duration_of_tp; 8 indices total
           0 seconds to construct Param ts_num_tps; 8 indices total
           0 seconds to construct Param ts_scale_to_period; 8 indices total
           0 seconds to construct BuildCheck min_data_check_1; 1 index total
           0 seconds to construct Set TIMEPOINTS; 1 index total
           0 seconds to construct Param tp_ts; 192 indices total
           0 seconds to construct BuildCheck min_data_check_2; 1 index total
           0 seconds to construct Param tp_timestamp; 192 indices total
           0 seconds to construct Param tp_duration_hrs; 192 indices total
           0 seconds to construct Param tp_weight; 192 indices total
           0 seconds to construct Set TPS_IN_TS; 8 indices total
           0 seconds to construct Param tp_period; 192 indices total
           0 seconds to construct Set TS_IN_PERIOD; 1 index total
           0 seconds to construct Set TPS_IN_PERIOD; 1 index total
           0 seconds to construct Param add_one_to_period_end; 1 index total
Constructed 21 of 209 components (10%)
           0 seconds to construct Param period_length_years; 1 index total
           0 seconds to construct Param period_length_hours; 1 index total
           0 seconds to construct Set CURRENT_AND_PRIOR_PERIODS_FOR_PERIOD; 1 index total
           0 seconds to construct Param ts_scale_to_year; 8 indices total
           0 seconds to construct Param ts_duration_hrs; 8 indices total
           0 seconds to construct Param tp_weight_in_year; 192 indices total
           0 seconds to construct Param tp_previous; 192 indices total
           0 seconds to construct BuildCheck validate_time_weights; 1 index total
           0 seconds to construct BuildCheck validate_period_lengths; 1 index total
           0 seconds to construct Param base_financial_year; 1 index total
           0 seconds to construct Param interest_rate; 1 index total
           0 seconds to construct Param discount_rate; 1 index total
           0 seconds to construct BuildCheck min_data_check_3; 1 index total
           0 seconds to construct Param bring_annual_costs_to_base_year; 1 index total
           0 seconds to construct Param bring_timepoint_costs_to_base_year; 192 indices total
           0 seconds to construct Set LOAD_ZONES; 1 index total
           0 seconds to construct Set SetProduct_OrderedSet; 1 index total
           0 seconds to construct Set SetProduct_OrderedSet; 1 index total
        0.01 seconds to construct Set ZONE_TIMEPOINTS; 1 index total
        0.01 seconds to construct Param zone_demand_mw; 960 indices total
           0 seconds to construct Param zone_ccs_distance_km; 5 indices total
           0 seconds to construct Param zone_dbid; 5 indices total
           0 seconds to construct BuildCheck min_data_check_4; 1 index total
Constructed 42 of 209 components (20%)
           0 seconds to construct Set EXTERNAL_COINCIDENT_PEAK_DEMAND_ZONE_PERIODS_domain; 1 index total
           0 seconds to construct Set EXTERNAL_COINCIDENT_PEAK_DEMAND_ZONE_PERIODS_domain; 1 index total
           0 seconds to construct Set EXTERNAL_COINCIDENT_PEAK_DEMAND_ZONE_PERIODS; 1 index total
           0 seconds to construct Param zone_expected_coincident_peak_demand; 0 index total
           0 seconds to construct Set zone_total_demand_in_period_mwh_index; 1 index total
           0 seconds to construct Set zone_total_demand_in_period_mwh_index; 1 index total
           0 seconds to construct Param zone_total_demand_in_period_mwh; 5 indices total
           0 seconds to construct Set NON_FUEL_ENERGY_SOURCES; 1 index total
           0 seconds to construct Set FUELS; 1 index total
           0 seconds to construct Param f_co2_intensity; 14 indices total
           0 seconds to construct Param f_upstream_co2_intensity; 14 indices total
           0 seconds to construct BuildCheck min_data_check_5; 1 index total
           0 seconds to construct Set SetIntersection_OrderedSet; 1 index total
           0 seconds to construct Set SetIntersection_OrderedSet; 1 index total
           0 seconds to construct BuildCheck e_source_is_fuel_or_not_check; 1 index total
           0 seconds to construct Set SetUnion_OrderedSet; 1 index total
           0 seconds to construct Set SetUnion_OrderedSet; 1 index total
           0 seconds to construct Set ENERGY_SOURCES; 1 index total
           0 seconds to construct BuildCheck min_data_check_6; 1 index total
WARNING: Element H_Hidronare already exists in Set GENERATION_PROJECTS; no
    action taken
        0.01 seconds to construct Set GENERATION_PROJECTS; 1 index total
           0 seconds to construct Param gen_dbid; 649 indices total
           0 seconds to construct Param gen_tech; 649 indices total
           0 seconds to construct Set GENERATION_TECHNOLOGIES; 1 index total
           0 seconds to construct Param gen_energy_source; 649 indices total
           0 seconds to construct Param gen_load_zone; 649 indices total
        0.01 seconds to construct Param gen_max_age; 649 indices total
        0.01 seconds to construct Param gen_is_variable; 649 indices total
Constructed 63 of 209 components (30%)
           0 seconds to construct Param gen_is_baseload; 649 indices total
           0 seconds to construct Param gen_is_cogen; 649 indices total
           0 seconds to construct Param gen_is_distributed; 649 indices total
           0 seconds to construct Param gen_scheduled_outage_rate; 649 indices total
           0 seconds to construct Param gen_forced_outage_rate; 649 indices total
           0 seconds to construct BuildCheck min_data_check_7; 1 index total
        0.01 seconds to construct Set GENS_IN_ZONE; 5 indices total
           0 seconds to construct Set VARIABLE_GENS; 1 index total
           0 seconds to construct Set VARIABLE_GENS_IN_ZONE; 5 indices total
           0 seconds to construct Set BASELOAD_GENS; 1 index total
           0 seconds to construct Set GENS_BY_TECHNOLOGY; 6 indices total
           0 seconds to construct Set CAPACITY_LIMITED_GENS; 1 index total
           0 seconds to construct Param gen_capacity_limit_mw; 37 indices total
           0 seconds to construct Set DISCRETELY_SIZED_GENS; 1 index total
           0 seconds to construct Param gen_unit_size; 50 indices total
           0 seconds to construct Set CCS_EQUIPPED_GENS; 1 index total
           0 seconds to construct Param gen_ccs_capture_efficiency; 0 index total
           0 seconds to construct Param gen_ccs_energy_load; 0 index total
