TRANS_BLD_YRS_1,TRANS_BLD_YRS_2,BuildTx
Antioquia-Caribe,2023,44.44698284676579
Antioquia-Caribe,2024,191.37189908484913
Antioquia-Nordeste,2023,1.7560300925563724e-08
Antioquia-Nordeste,2024,5.711893037215942e-09
Antioquia-Oriental,2023,1.0504630629142445e-08
Antioquia-Oriental,2024,5.769530708205212e-09
Antioquia-Surocciden,2023,2.092111791475361e-08
Antioquia-Surocciden,2024,4.203102758935815e-09
Caribe-Nordeste,2023,1.5442435478340135e-08
Caribe-Nordeste,2024,9.48259907336888e-09
Nordeste-Oriental,2023,1.7049215142445013e-08
Nordeste-Oriental,2024,5.769556860835179e-09
Oriental-Surocciden,2023,1.7578991492543073e-08
Oriental-Surocciden,2024,5.844109781301076e-09
