PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,0.0,0.0
2023,FuelCostsPerTP,timepoint,638391736.675958,660735447.4596181
2023,GenVariableOMCostsInTP,timepoint,212241772.7773054,219670234.82451156
2023,StorageEnergyFixedCost,annual,0.0,0.0
2023,TotalGenFixedCosts,annual,4268421178.670166,4417815919.923632
2023,TxFixedCosts,annual,288782853.41040087,298890253.27976555
2024,EmissionsCosts,annual,0.0,0.0
2024,FuelCostsPerTP,timepoint,647059087.6287645,693145871.1451248
2024,GenVariableOMCostsInTP,timepoint,211729590.34693918,226810030.4194004
2024,StorageEnergyFixedCost,annual,0.0,0.0
2024,TotalGenFixedCosts,annual,4273297442.9695973,4577663053.345117
2024,TxFixedCosts,annual,286122398.59769046,306501466.4378116
