gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Wind,2023,214.6403762136111,0.0,0.0,32.0,5395834.247909282,882240.0,29.249269679164716,0.7656976891181901,0.0,0.0
Eolica,Wind,2024,214.64037614749537,0.0,0.0,32.0,5395834.247909282,882240.0,29.249269688174373,0.7656976888823321,0.0,0.0
Hidro,Water,2023,64024.23753716227,88990797.06367463,0.0,12988.792,1915499513.8988552,568649313.76,40.19008618773437,0.5626930445264787,0.0,0.0
Hidro,Water,2024,64024.23753726604,88990797.063818,0.0,12988.792,1915499513.8988552,568649313.76,40.190086187671476,0.5626930445273908,0.0,0.0
Menores,RunofRiver,2023,1150.4036357442155,1599061.0536844595,0.0,184.76,21945662.817875467,8088792.799999999,27.49775443042274,0.7107848882471096,0.0,0.0
Menores,RunofRiver,2024,1150.403635745963,1599061.0536868882,0.0,184.76,21945662.817875467,8088792.799999999,27.49775443038308,0.7107848882481893,0.0,0.0
Thermal,ACPM,2023,3.029705519755711e-07,0.0028176261333728112,0.00017198660438691988,1041.0,202347726.61909693,149092020.0,1159979886923.966,3.3223515321100963e-11,0.0,0.0
Thermal,ACPM,2024,3.6929268029200977e-07,0.0034344219267156907,0.00020891497236026586,1041.0,202347726.61909693,149092020.0,951656410694.7324,4.04963483798957e-11,0.0,0.0
Thermal,CARBON,2023,11057.490468281369,92784597.02687179,10256626.167833418,1627.5,255374468.35368097,233090550.0,52.566142114060945,0.7755886951778694,0.0,0.0
Thermal,CARBON,2024,11457.751555838795,96143231.05157064,10957611.593371311,1627.5,255374468.35368097,233090550.0,51.02294691556121,0.8036635983866612,0.0,0.0
Thermal,COMBUSTOLEO,2023,2.3188189072571767e-07,0.0021565015837491743,0.00024102899828389387,178.0,20395980.66718305,25493160.0,197898768746.97247,1.4871087343242886e-10,0.0,0.0
Thermal,COMBUSTOLEO,2024,2.525833013713153e-07,0.0023490247027532322,0.00026239546925970077,178.0,20395980.66718305,25493160.0,181679233822.63422,1.6198713596744347e-10,0.0,0.0
Thermal,GASIMPOR,2023,4.205864754155147e-07,0.002977752245941844,0.00020122198613984002,835.0,95661453.12922928,119588700.0,511785722352.4664,5.749958650035745e-11,0.0,0.0
Thermal,GASIMPOR,2024,7.530568221513918e-07,0.005497987692117947,0.00035664271664106296,887.0,101778213.32931766,127036140.0,303847394518.14655,9.691701314154628e-11,0.0,0.0
Thermal,GASNACIO,2023,3066.764788298114,21712694.70111016,1459084.8972070767,2140.0,387975882.69127166,306490800.0,233.52928145161798,0.1635921984113277,0.0,0.0
Thermal,GASNACIO,2024,3052.2417897807727,21609871.87158172,1483966.5405731369,2140.0,387975882.69127166,306490800.0,234.60675918937784,0.16281748974633914,0.0,0.0
pv_solar,Solar,2023,1399.071226364042,1399071.2263640421,0.0,752.17,89831666.0385282,12012154.9,73.79387855270505,0.21233408300052792,0.0,0.0
pv_solar,Solar,2024,3485.378141266412,3314564.4595550704,0.0,1832.0700000000002,218880924.2599225,29245829.9,72.14176150428155,0.2171719514208216,0.0,0.0
