gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Caribe,Wind,2023,214.64037648405017,0.0,0.0,32.0,5395834.247909282,882240.0,29.2492696423117,0.7656976900829413,0.0,0.0
Eolica,Caribe,Wind,2024,214.64037638385182,0.0,0.0,32.0,5395834.247909282,882240.0,29.24926965596583,0.7656976897254987,0.0,0.0
Hidro,Antioquia,Water,2023,34384.9537204345,47792192.55787888,0.0,5829.82,952762896.5662999,255229519.6,36.52134066936036,0.6733008956446102,0.0,0.0
Hidro,Antioquia,Water,2024,34384.95372066114,47792192.55818912,0.0,5829.82,952762896.5662999,255229519.6,36.52134066912867,0.6733008956490479,0.0,0.0
Hidro,Caribe,Water,2023,1183.8596786021035,1645564.9532569232,0.0,338.0,93784863.0678432,14797640.0,93.10906521561488,0.3998337246366293,0.0,0.0
Hidro,Caribe,Water,2024,1183.8596786039598,1645564.9532595035,0.0,338.0,93784863.0678432,14797640.0,93.10906521547106,0.3998337246372563,0.0,0.0
Hidro,Nordeste,Water,2023,5084.461173923091,7067401.031753095,0.0,882.2,119845587.9203285,38622716.0,32.55717750409269,0.6579210408395638,0.0,0.0
Hidro,Nordeste,Water,2024,5084.461173946736,7067401.031785964,0.0,882.2,119845587.9203285,38622716.0,32.557177503947756,0.6579210408426234,0.0,0.0
Hidro,Oriental,Water,2023,10916.31138325328,15173672.822722057,0.0,2600.0,328204315.73605424,113828000.0,41.88282767933647,0.47929010288256396,0.0,0.0
Hidro,Oriental,Water,2024,10916.311383333426,15173672.822833464,0.0,2600.0,328204315.73605424,113828000.0,41.882827679039174,0.4792901028860829,0.0,0.0
Hidro,Surocciden,Water,2023,12454.651623386788,17311965.756507635,0.0,3338.772,420901850.60832936,146171438.16,46.92104381526854,0.42583437382015404,0.0,0.0
Hidro,Surocciden,Water,2024,12454.651623650909,17311965.75687476,0.0,3338.772,420901850.60832936,146171438.16,46.92104381430299,0.42583437382918454,0.0,0.0
Menores,Antioquia,RunofRiver,2023,719.635715413817,1000293.6444252057,0.0,100.99,11706738.682944939,4421342.199999999,23.80145142952042,0.8134488149667796,0.0,0.0
Menores,Antioquia,RunofRiver,2024,719.635715416004,1000293.6444282455,0.0,100.99,11706738.682944939,4421342.199999999,23.80145142945231,0.8134488149692517,0.0,0.0
Menores,Caribe,RunofRiver,2023,39.85400983266527,55397.073667404715,0.0,4.9,604611.0197777312,214522.00000000003,21.943340133577998,0.9284784696828174,0.0,0.0
Menores,Caribe,RunofRiver,2024,39.85400987505197,55397.07372632224,0.0,4.9,604611.0197777312,214522.00000000003,21.94334011171851,0.9284784706703,0.0,0.0
Menores,Surocciden,RunofRiver,2023,390.9139107989602,543370.3360105546,0.0,78.87,9634313.115152797,3452928.5999999996,34.86857764489564,0.5658029119054361,0.0,0.0
Menores,Surocciden,RunofRiver,2024,390.91391081463576,543370.3360323436,0.0,78.87,9634313.115152797,3452928.5999999996,34.86857764355316,0.5658029119281246,0.0,0.0
Thermal,Antioquia,ACPM,2023,2.911321900448247e-07,0.0027075293674168697,0.00014235385889033376,433.0,54791821.79232248,62014260.0,401213214440.6489,7.675350639712968e-11,0.0,0.0
Thermal,Antioquia,ACPM,2024,3.4710750730932e-07,0.0032280998179766767,0.00016972390826201192,433.0,54791821.79232248,62014260.0,336512692280.83984,9.15107267205859e-11,0.0,0.0
Thermal,Antioquia,CARBON,2023,56.94000046296601,477789.6949421778,0.0,6.5,1799460.058863031,930930.0,56.34316346540637,1.0000000081307692,0.0,0.0
Thermal,Antioquia,CARBON,2024,56.940000550110355,477789.6956734154,0.0,6.5,1799460.058863031,930930.0,56.343163392017715,1.0000000096612283,0.0,0.0
Thermal,Antioquia,GASNACIO,2023,2.427622805692142e-06,0.016969083411788075,0.0010558896840901857,272.0,34296481.12188921,38955840.0,30174506915.61338,1.0188451877233336e-09,0.0,0.0
Thermal,Antioquia,GASNACIO,2024,3.962839730696242e-06,0.027700249717566735,0.0017236292151868692,272.0,34296481.12188921,38955840.0,18484805373.827103,1.6631579584240874e-09,0.0,0.0
Thermal,Caribe,ACPM,2023,2.2628981082002302e-07,0.0021044952406262143,0.00014279339642365096,88.0,11127600.364000458,12603360.0,104869769788.17265,2.935473884651605e-10,0.0,0.0
Thermal,Caribe,ACPM,2024,2.6147127678207245e-07,0.002431682874073275,0.00016499360507502337,88.0,11127600.364000458,12603360.0,90759339452.07718,3.3918544621999847e-10,0.0,0.0
Thermal,Caribe,CARBON,2023,5583.5178439447845,46851901.39922281,5293562.188279176,709.0,86803112.8394597,101542980.0,42.12362184778369,0.8989956018742686,0.0,0.0
Thermal,Caribe,CARBON,2024,3847.1887115591,32282176.078947347,3645378.190718496,709.0,86803112.8394597,101542980.0,57.347919600490805,0.6194313026191464,0.0,0.0
