generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AMOYA,AMOYA,Hidro,Surocciden,Water,2023,422.1673799716942,586812.6581606548,0.0,80.0,8978400.293696908,3502400.0,30.953630175627804,0.6024077910554996,,
AMOYA,AMOYA,Hidro,Surocciden,Water,2024,422.1673799723976,586812.6581616326,0.0,80.0,8978400.293696908,3502400.0,30.95363017557855,0.6024077910565032,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2023,1.7000750801139422e-07,0.0012036531567206712,0.0001053968856239483,60.0,6771600.221509176,8593200.0,90377186292.7551,3.2345416288317005e-10,,
BARRANQUILL3,BARRANQUILL3,Thermal,Caribe,GASIMPOR,2024,2.1402538450750834e-07,0.0015152997223131588,0.00013268595743458317,60.0,6771600.221509176,8593200.0,71789616256.87656,4.0720202531869917e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2023,1.4721563292430393e-07,0.001042286681104072,0.00010135890544843396,60.0,6782400.22186246,8593200.0,104442713844.19241,2.800906258072753e-10,,
BARRANQUILL4,BARRANQUILL4,Thermal,Caribe,GASIMPOR,2024,1.8160717314629674e-07,0.001285778785875781,0.00012503770099713346,60.0,6782400.22186246,8593200.0,84664057904.59698,3.455235409937152e-10,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2023,1140.5609810703472,1585379.7636877825,0.0,540.0,61187402.001531474,23641200.0,75.76445556126689,0.24111300969692773,,
BETANIA,BETANIA,Hidro,Surocciden,Water,2024,1140.5609810661422,1585379.763681937,0.0,540.0,61187402.001531474,23641200.0,75.76445556154107,0.2411130096960388,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2023,72.46972888027565,100732.92314358315,0.0,19.9,2262033.073994486,871221.9999999999,44.625363542905106,0.4157185980144767,,
CALDERAS,CALDERAS,Hidro,Antioquia,Water,2024,72.46972888102638,100732.92314462666,0.0,19.9,2262033.073994486,871221.9999999999,44.62536354245721,0.41571859801878325,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2023,737.7613007762943,1025488.2080790491,0.0,132.0,15016320.491206313,5778960.0,29.577003668157843,0.6380252013078509,,
CALIMA,CALIMA,Hidro,Surocciden,Water,2024,737.7613007751343,1025488.2080774365,0.0,132.0,15016320.491206313,5778960.0,29.57700366820217,0.6380252013068476,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2023,3.9927011131582733e-07,0.0028268323881160576,0.0001528374044508082,555.0,63286652.070201084,79487100.0,357586876719.88605,8.212392762265565e-11,,
CANDELARIA,CANDELARIA,Thermal,Caribe,GASIMPOR,2024,6.283436668301752e-07,0.00444867316115764,0.00024052492891325642,555.0,63286652.070201084,79487100.0,227222393749.75317,1.2924095331568039e-10,,
CARTAGENA1,CARTAGENA1,Thermal,Caribe,COMBUSTOLEO,2023,1.2216416730300656e-07,0.001136126755917961,0.00014189673442662466,52.0,5948280.194577146,7447440.0,109653431865.07025,2.6818617690333365e-10,,
CARTAGENA1,CARTAGENA1,Thermal,Caribe,COMBUSTOLEO,2024,1.276899407491918e-07,0.001187516448967484,0.00014831505842870506,52.0,5948280.194577146,7447440.0,104908187106.73926,2.803168702783451e-10,,
CARTAGENA2,CARTAGENA2,Thermal,Caribe,COMBUSTOLEO,2023,1.4668619947257763e-07,0.001364181655094972,0.00014725592867132913,60.0,6874200.224865375,8593200.0,105445503952.27277,2.7908333232986605e-10,,
CARTAGENA2,CARTAGENA2,Thermal,Caribe,COMBUSTOLEO,2024,1.545244535347409e-07,0.0014370774178730904,0.00015512462651226983,60.0,6874200.224865375,8593200.0,100096779975.50723,2.9399629667949175e-10,,
CARTAGENA3,CARTAGENA3,Thermal,Caribe,COMBUSTOLEO,2023,1.5155308382466526e-07,0.0014094436795693871,0.00014842654370536242,66.0,7573500.247740526,9452520.0,112343608057.80571,2.6213000523153667e-10,,
