load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge
Antioquia,2023_Q1_labor_0h,3860.76,0,-2766.98,1093.78,0
Antioquia,2023_Q1_labor_1h,3759.11,0,-2726.57,1032.55,0
Antioquia,2023_Q1_labor_2h,3696.68,0,-2699.41,997.272,0
Antioquia,2023_Q1_labor_3h,3650.39,0,-2678.13,972.263,0
Antioquia,2023_Q1_labor_4h,3627.47,0,-2667.22,960.252,0
Antioquia,2023_Q1_labor_5h,3655.33,0,-2680.27,975.055,0
Antioquia,2023_Q1_labor_6h,3725.3,0,-2710.12,1015.18,0
Antioquia,2023_Q1_labor_7h,3758.87,0,-2720.04,1038.83,0
Antioquia,2023_Q1_labor_8h,3857.33,0,-2755.79,1101.54,0
Antioquia,2023_Q1_labor_9h,3960.61,0,-2790.78,1169.83,0
Antioquia,2023_Q1_labor_10h,4023.21,0,-2810.85,1212.36,0
Antioquia,2023_Q1_labor_11h,4087.14,0,-2832.71,1254.44,0
Antioquia,2023_Q1_labor_12h,4140.81,0,-2852.92,1287.89,0
Antioquia,2023_Q1_labor_13h,4134.92,0,-2852.64,1282.28,0
Antioquia,2023_Q1_labor_14h,4144.52,0,-2859.44,1285.08,0
Antioquia,2023_Q1_labor_15h,4172.24,0,-2874.42,1297.82,0
Antioquia,2023_Q1_labor_16h,4175.01,0,-2880.09,1294.92,0
Antioquia,2023_Q1_labor_17h,4144.89,0,-2871.76,1273.13,0
Antioquia,2023_Q1_labor_18h,4105.73,0,-2857.3,1248.43,0
Antioquia,2023_Q1_labor_19h,4216.53,0,-2903.01,1313.53,0
Antioquia,2023_Q1_labor_20h,4241.65,0,-2913.74,1327.9,0
Antioquia,2023_Q1_labor_21h,4183.2,0,-2888.73,1294.47,0
Antioquia,2023_Q1_labor_22h,4089.4,0,-2851.24,1238.16,0
Antioquia,2023_Q1_labor_23h,3971.03,0,-2807.54,1163.49,0
Antioquia,2023_Q1_holidays_0h,3815.9,0,-2789.32,1026.58,0
Antioquia,2023_Q1_holidays_1h,3768.5,0,-2765.45,1003.05,0
Antioquia,2023_Q1_holidays_2h,3700.47,0,-2730.77,969.7,0
Antioquia,2023_Q1_holidays_3h,3643.02,0,-2700.74,942.278,0
Antioquia,2023_Q1_holidays_4h,3599.76,0,-2678.23,921.532,0
Antioquia,2023_Q1_holidays_5h,3576.4,0,-2666.05,910.347,0
