TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Antioquia-Caribe,2023,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1211.3123780323983,1211.3123780323983,48176125.92081961
Antioquia-Caribe,2024,Antioquia,Caribe,Antioquia-Caribe,331.18,0.96,1,1458.953143015701,1458.953143015701,58025255.58656516
Antioquia-Nordeste,2023,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000193877,845.0000000193877,33482390.560890514
Antioquia-Nordeste,2024,Antioquia,Nordeste,Antioquia-Nordeste,329.95,0.96,1,845.0000000270468,845.0000000270468,33482390.561194
Antioquia-Oriental,2023,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.00000001256547,480.00000001256547,32798188.28232216
Antioquia-Oriental,2024,Antioquia,Oriental,Antioquia-Oriental,568.98,0.96,1,480.0000000202607,480.0000000202607,32798188.282847974
Antioquia-Surocciden,2023,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.00000002307,1420.00000002307,94250045.28512564
Antioquia-Surocciden,2024,Antioquia,Surocciden,Antioquia-Surocciden,552.69,0.96,1,1420.000000028582,1420.000000028582,94250045.28549148
Caribe-Nordeste,2023,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000189497,500.0000000189497,21501750.28514917
Caribe-Nordeste,2024,Caribe,Nordeste,Caribe-Nordeste,358.09,0.96,1,500.0000000337162,500.0000000337162,21501750.285784177
Nordeste-Oriental,2023,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5000000195861,882.5000000195861,38995557.86402332
Nordeste-Oriental,2024,Nordeste,Oriental,Nordeste-Oriental,367.95,0.96,1,882.5000000275645,882.5000000275645,38995557.864375874
Oriental-Surocciden,2023,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.500000019041,882.500000019041,34135288.0348295
Oriental-Surocciden,2024,Oriental,Surocciden,Oriental-Surocciden,322.09,0.96,1,882.5000000268083,882.5000000268083,34135288.035129935
